id,name,postal_code,latitude,longitude,city_id,category_id,stars,review_count,address,is_open,delivery,takeout,outdoor_seating,drivethrough,wheelchair_friendly,alcohol_beverage,dancing,catering,counter_service,seating,dogs_allowed,bike_parking,parking,breakfast,lunch,dinner,dessert,casual,romantic,formal,trendy,with_reservation,live_entertainment,groups,kids_friendly,wifi,bar_onsite,credit_cards
aamorepizzer278603827290,A' Amor'e Pizzeria Grill & Pub,33782.0,27.8603393559,-82.729034407,76,[26],3.5,30,9700 66th St N,1,1,1,1,0,1,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,1,1,0,1
aapizzaxxxxx283578826647,A & A Pizza,34667.0,28.357835123,-82.6647799024,327,"[19, 26, 27]",4.5,12,13800 Little Rd,1,1,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
abbottstatio282351821827,Abbott Station Restaurant,33542.0,28.2351469,-82.1827959,201,[37],4.5,14,5327 Gall Blvd,0,0,1,1,0,0,0,0,1,0,1,0,1,1,0,0,0,0,1,0,0,0,1,0,1,1,1,0,1
abbyshealthn280783825080,Abby's Health & Nutrition,33618.0,28.078391,-82.508078,3,[48],4.0,67,14374 N Dale Mabry Hwy,1,0,1,0,0,1,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
abcfinewinea280147826140,ABC Fine Wine and Spirits,33635.0,28.014744,-82.614059,3,[48],4.5,16,11615 W Hillsborough Ave,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
abcfinewines277704827670,ABC Fine Wine & Spirits,33706.0,27.7704039,-82.7670503,426,[48],3.0,13,204 107th Ave,1,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
abcfinewines278416827932,ABC Fine Wine & Spirits,33772.0,27.841641,-82.793299,217,[48],2.5,6,11153 Park Blvd,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abcfinewines278933824950,ABC Fine Wine & Spirits,33611.0,27.893349,-82.495001,3,[48],4.5,15,3100 W Gandy Blvd,1,1,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
abcfinewines279327827869,ABC Fine Wine & Spirits,33770.0,27.9327109605,-82.7869380491,40,[48],4.0,10,1603 Missouri Ave N,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
abcfinewines279361822640,ABC Fine Wine Spirits,33511.0,27.9361717,-82.2640586,22,[48],2.5,7,1405 E Brandon Blvd,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
