city_id,city,population,city_normalized
1,Jacksonville,985843,Jacksonville
2,Miami,455924,Miami
3,Tampa,403364,Tampa
4,Orlando,320742,Orlando
5,St. Petersburg,263553,St. Petersburg
6,Port St. Lucie,245021,Port St. Lucie
7,Cape Coral,224455,Cape Coral
8,Hialeah,221300,Hialeah
9,Tallahassee,202221,Tallahassee
10,Fort Lauderdale,184255,Fort Lauderdale
11,Pembroke Pines,171119,Pembroke Pines
12,Hollywood,153859,Hollywood
13,Gainesville,145812,Gainesville
14,Miramar,138319,Miramar
15,Palm Bay,135566,Palm Bay
16,Coral Springs,134906,Coral Springs
17,Lehigh Acres,127391,Lehigh Acres
18,West Palm Beach,124130,West Palm Beach
19,Lakeland,122264,Lakeland
20,Spring Hill,118814,Spring Hill
21,Clearwater,116850,Clearwater
22,Brandon,116365,Brandon
23,Pompano Beach,113619,Pompano Beach
24,Miami Gardens,110717,Miami Gardens
25,Davie,107799,Davie
26,Riverview,107776,Riverview
27,Palm Coast,102113,Palm Coast
28,Boca Raton,99974,Boca Raton
29,Deltona,98739,Deltona
30,Fort Myers,97372,Fort Myers
31,Sunrise,96808,Sunrise
32,Plantation City,96548,Plantation City
33,Alafaya,90874,Alafaya
34,North Port,88934,North Port
35,Deerfield Beach,87325,Deerfield Beach
36,Melbourne,86960,Melbourne
37,Town 'N' Country,86544,Town 'N' Country
38,Daytona Beach,82485,Daytona Beach
39,Pine Hills,82264,Pine Hills
40,Largo,82248,Largo
41,The Villages,82108,The Villages
42,Homestead,81659,Homestead
43,Kissimmee,81269,Kissimmee
44,Boynton Beach,81267,Boynton Beach
45,Miami Beach,79607,Miami Beach
46,Doral,79359,Doral
47,Kendall,78527,Kendall
48,Lauderhill,73974,Lauderhill
49,Tamarac,72372,Tamarac
50,Wesley Chapel,71965,Wesley Chapel
51,Poinciana,71665,Poinciana
52,Ocala,68426,Ocala
53,Weston,68181,Weston
54,Delray Beach,67536,Delray Beach
55,St. Cloud,66448,St. Cloud
56,Port Orange,65966,Port Orange
57,Sanford,65394,Sanford
58,Port Charlotte,64971,Port Charlotte
59,Horizon West,62152,Horizon West
60,Wellington,61634,Wellington
61,Palm Harbor,61454,Palm Harbor
62,Jupiter,61291,Jupiter
63,Palm Beach Gardens,61146,Palm Beach Gardens
64,Four Corners,60443,Four Corners
65,Apopka,59113,Apopka
66,North Miami,59008,North Miami
67,Margate,58593,Margate
68,The Hammocks,58548,The Hammocks
69,Coconut Creek,57694,Coconut Creek
70,Sarasota,57602,Sarasota
71,Winter Haven,57109,Winter Haven
72,Bradenton,57076,Bradenton
73,Fountainebleau,56453,Fountainebleau
74,Bonita Springs,56229,Bonita Springs
75,Pensacola,53724,Pensacola
76,Pinellas Park,53456,Pinellas Park
77,Westchester,53082,Westchester
