id,name,street_address,postal_code,latitude,longitude,city_id,category_id,stars,review_count,is_open,delivery,takeout,dinein,outdoor_seating,drivethrough,good_for_working_on_laptop,solo_dining,wheelchair_friendly,alcohol_beverage,healthy_food,fast_comfort_food,braille_menu,all_you_can_eat,coffee,dancing,catering,counter_service,pay_ahead,seating,breakfast,lunch,dinner,dessert,casual,romantic,formal,trendy,with_reservation,usually_a_wait,quick_visit,black_owned,women_led,veteran_led,entertainment,live_entertainment,lgbtq_friendly,fast_service,fireplace,rooftop_seating,sports,college_students,family_friendly,groups,locals,tourists,kids_friendly,wi_fi,bar_onsite,cash_only,checks,credit_cards,debit_cards,nfc_mobile_payments,recycling
aagrillxxxxx261688801011,A1A Grill, 3330 NE 33rd St,33308,26.1688825,-80.1011759,10,[45],5.0,7,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
abacoagolfcl268885801199,Abacoa Golf Club, 105 Barbados Dr,33458,26.8885231,-80.11991479999999,62,[61],4.4,104,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abacusbusine284586814547,Abacus Business Solutions, 7091 Grand National Dr #104,32819,28.4586873,-81.4547683,4,[37],1.0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abbalételavi257688801366,Abbalé Telavivian Kitchen, 864 Commerce St,33139,25.7688647,-80.13660329999999,45,[37],4.4,73,1,1,1,1,1,0,0,1,1,1,1,0,0,0,1,0,1,0,0,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0
abbesdonutsh270467822499,Abbe's Donut Shop, 13625 Tamiami Trail,34287,27.0467394,-82.2499148,34,[37],4.7,18,1,1,1,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
abbottstatio282351821827,Abbott Station, 5327 Gall Blvd,33542,28.2351366,-82.18277169999999,201,[24],3.9,8,1,1,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
abclobsterco260759802112,ABC Lobster Company, 3711 SW 47th Ave,33314,26.0759493,-80.2112599,25,[37],4.7,26,1,1,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0
abcpizzahous278767823264,ABC Pizza House, 7210 US-301,33578,27.8767149,-82.3264097,26,[26],4.2,17,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
abcrestauran257876801939,ABC Restaurant Supplies, 1345 N Miami Ave,33136,25.7876963,-80.1939465,2,[42],4.2,28,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abestricount260060801484,Abe's Tri County Restaurant Equipment & Repairs, 621 S 21st Ave,33020,26.0060356,-80.14848429999999,12,[42],4.8,15,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
