id,business_id,name,address,city,state,postal_code,latitude,longitude,categories,stars,review_count,is_open,delivery,takeout,outdoor_seating,drivethrough,wheelchair_friendly,alcohol_beverage,dancing,catering,counter_service,seating,dogs_allowed,bike_parking,parking,breakfast,lunch,dinner,dessert,casual,romantic,formal,trendy,with_reservation,live_entertainment,groups,kids_friendly,wifi,bar_onsite,credit_cards
ziositalianm279161827604,0bPLkL0QhhPO5kt1_EXmNQ,Zio's Italian Market,2575 E Bay Dr,largo,FL,33771,27.9161159,-82.7604608,"['food', 'italian', 'restaurants']",4.5,100,0,1,1,0,0,1,0,0,1,1,0,0,1,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1
charliesmark280103824300,0qNpTGTcqPwOLi2hADx4Xw,Charlie's Market,2815 E Sligh Ave,tampa,FL,33610,28.0103596,-82.4300416,['food'],3.0,9,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
romanforumxx280462825050,uI9XODGY_2_ieTE6xJ0myw,Roman Forum,10440 N Dale Mabry Hwy,tampa,FL,33618,28.0462028173,-82.5050526736,"['restaurants', 'italian']",4.0,23,0,0,1,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,1,0,0,1
joespizzaxxx279605825061,JgpnXv_0XhV3SfbfB50nxw,Joe's Pizza,2038 N Dale Mabry Hwy,tampa,FL,33607,27.9605142,-82.506127,"['restaurants', 'pizza']",4.0,35,0,1,1,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,1,0,0,0,1,0,1,1,0,0,1
publixsuperm283326826681,KWA2qtdwVEkMpd5soSKaGA,Publix Super Market,12101 Little Rd,hudson,FL,34667,28.3326007,-82.6681066,['food'],3.5,7,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
topshelfspor281962823806,pJfh3Ct8iL58NZa8ta-a5w,Top Shelf Sports Lounge,3173 Cypress Ridge Blvd,wesley chapel,FL,33544,28.1962523878,-82.3806153496,['restaurants'],4.5,95,1,1,1,0,0,1,1,0,1,0,1,0,1,1,0,0,1,0,1,0,0,0,1,0,1,0,1,0,1
impastoxxxxx278908825023,RK6-cJ9hj53RzOlCBmpT-g,Impasto,,tampa,FL,33611,27.890814,-82.5023464,"['restaurants', 'italian', 'food']",5.0,5,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
thepearlxxxx277694827673,vje0KIiE7vtpx7JzmBx5LQ,The Pearl,163 107th Ave,treasure island,FL,33706,27.7694046,-82.767317,"['restaurants', 'french', 'moroccan', 'seafood', 'mediterranean']",4.0,129,1,1,1,1,0,1,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,1
walmartsuper281477827425,4dVrWc4Nhuw9apfk9BWEcA,Walmart Supercenter,41232 US Hwy 19 N,tarpon springs,FL,34689,28.1477204,-82.7425681,['food'],2.0,29,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
thecakedripx279357824764,zFvqulgAYOpSG2t1v8AZ-w,The Cake Drip,1625 W Snow Cir,tampa,FL,33606,27.935753,-82.4764699,['food'],4.0,40,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
paylessliquo396322861586,PYW8Buz8S8LpjIe6mZTAcw,Payless Liquors,954 N State Rd 135,greenwood,FL,46143,39.632279734,-86.158674289,['food'],3.5,13,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
chipotlemexi278941827798,aNtKyc2rr-uK5cqzY9TVQQ,Chipotle Mexican Grill,10160 Ulmerton Rd,largo,FL,33771,27.894167,-82.779866,"['mexican', 'restaurants']",3.0,19,1,1,1,1,1,0,0,0,1,1,0,0,1,1,0,1,0,0,1,0,0,0,1,0,0,1,1,0,1
barbcutiexxx362965867001,BxhkoR6cscJwwex8gx31OA,Bar-B-Cutie,1787 Gallatin Pike N,madison,FL,37115,36.296536,-86.700179,['restaurants'],3.5,40,1,1,1,0,1,0,0,0,1,0,1,0,1,1,0,0,0,0,1,0,0,0,1,0,1,1,0,0,1
trustmebbqxx278652823260,P10BsKUeoeCeVoK4BS2u0w,Trust Me BBQ,8624 US Hwy 301 S,riverview,FL,33569,27.8652573,-82.3260903,['restaurants'],4.0,29,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,1
pdqtempleter280548823995,QjV4v7q_pt7tt3K1US7IHg,PDQ Temple Terrace,5112 E Fowler Ave,tampa,FL,33617,28.0548882706,-82.3995484,['restaurants'],3.0,5,1,1,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
romapizzaita402295751310,59jkCUm4yHciKL1KW_1HJA,Roma Pizza & Italian Eatery,1103 Main St,warrington,FL,18976,40.2295269733,-75.1310898382,"['pizza', 'restaurants']",2.5,25,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,1
aussiegrillx281921823963,CtMEJxpVMlNzFpB4PtFjfA,Aussie Grill,25340 Sierra Center Blvd,lutz,FL,33559,28.192191035,-82.396367,['restaurants'],4.0,75,1,1,1,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
pubgrillxxxx279657827989,ZU6NodDOWaabGkeNpOWdXw,530 Pub & Grill,530 Cleveland St,clearwater,FL,33755,27.9657471097,-82.7989008,['restaurants'],4.5,6,1,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
zestytsunami282502826824,8c0r7olQSYGcws0bTd3ikw,Zesty Tsunami,6614 Osteen Rd,new port richey,FL,34653,28.2502179787,-82.6824409515,"['hawaiian', 'food', 'restaurants']",4.0,5,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,1,0,0,1
obriensirish280923825005,Ucl9Vo5lwrUmYbV8Dv8X5g,O'Briens Irish Pub,15435 N Dale Mabry Hwy,tampa,FL,33618,28.09236,-82.500588,"['irish', 'restaurants']",4.0,108,1,0,1,1,0,0,0,1,1,0,1,1,1,1,0,0,1,0,1,0,0,0,1,1,1,1,1,0,1
leeroyselmon280787825063,xbRbvXSAVZBEwaUUn3mzbg,Lee Roy Selmon's,14457 N Dale Mabry Hwy,tampa,FL,33618,28.0787347875,-82.5063104158,['restaurants'],3.5,42,0,1,1,1,0,0,1,0,1,0,1,0,1,1,0,0,0,0,1,0,0,0,1,0,1,1,1,0,1
fourgreenfie279803825377,VVvUBlc_WIEb8obKGq39dA,Four Green Fields,"4100 George J Bean Pkwy, Airside E, Tampa International Airport",tampa,FL,33607,27.9803985924,-82.5377866183,"['restaurants', 'irish']",4.5,39,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,1
cafeconleche279767825374,py5aKmlTB2NarfsfcOpHOQ,Cafe Con Leche,4100 George J Bean Pkwy,tampa,FL,33607,27.9767745,-82.5374233,"['restaurants', 'food']",2.5,55,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,1
sakehousexxx280552823993,dJfkfBbJz7wi0RgW-ph_Eg,Sake House,5106 E Fowler Ave,tampa,FL,33617,28.055212,-82.399374,"['restaurants', 'japanese']",3.0,140,0,1,1,0,0,0,1,0,1,0,1,0,1,1,0,1,1,0,1,0,0,0,1,0,1,1,0,0,1
phofriendlyx402354747532,tuyCmcmm5Q-bc-9zV76xKA,Pho Friendly,729 Brunswick Ave,trenton,FL,08638,40.23547,-74.7532115132,"['thai', 'vietnamese', 'chinese', 'restaurants']",4.5,93,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,1,1,0,0,1
brandonburge279373823077,SRexiuEsx1d9-dZVUsssQA,Brandon Burgers,1513 W Brandon Blvd,brandon,FL,33511,27.9373704213,-82.3077001423,['restaurants'],3.5,24,1,1,1,0,0,1,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
gpeppersgril280921825785,XwoXi0M66RU6Gouq-DSDHw,G Peppers Grill & Tavern,8745 Gunn Hwy,odessa,FL,33556,28.0921362,-82.5785736,"['restaurants', 'mexican']",4.0,82,1,0,1,0,0,0,1,0,0,0,1,0,1,1,0,1,1,0,1,0,0,0,1,0,1,1,1,0,1
thehideoutco279344822878,8YJtf5v76SIz-4udyF4YmA,The Hideout Coffee House,218 Oakfield Dr,brandon,FL,33511,27.9344684803,-82.2878021747,['food'],4.5,22,0,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
maithairesta278915822725,iBRXLFWD7PeSYDbKsd_JTw,Mai Thai Restaurant,875 E Bloomingdale Ave,brandon,FL,33511,27.8915738378,-82.2725105,"['food', 'restaurants', 'thai']",4.5,27,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,1,1,1,0,1
sohooasiscaf279402824828,sUQ-OfJYSNfz-cimEjoaXQ,Soho Oasis Cafe,410 S Howard Ave,tampa,FL,33606,27.9402059,-82.4828837,"['restaurants', 'middle eastern']",3.5,7,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,1,0,0,1
noblecrustxx281882823472,j9Kaj_6tSeXmVMYCgZithg,Noble Crust,28330 Paseo Dr,wesley chapel,FL,33543,28.188219,-82.347274,"['restaurants', 'italian', 'pizza']",4.5,496,1,1,1,1,0,1,1,0,1,0,1,0,0,1,0,1,1,1,1,0,0,1,1,0,1,1,1,0,1
