atributo_id,atributo
1,delivery
2,takeout
3,dinein
4,outdoor_seating
5,drivethrough
6,good_for_working_on_laptop
7,solo_dining
8,wheelchair_friendly
9,alcohol_beverage
10,healthy_food
11,fast_comfort_food
12,braille_menu
13,all_you_can_eat
14,coffee
15,dancing
16,catering
17,counter_service
18,pay_ahead
19,seating
20,dogs_allowed
21,bike_parking
22,parking
23,breakfast
24,lunch
25,dinner
26,dessert
27,casual
28,romantic
29,formal
30,trendy
31,with_reservation
32,usually_a_wait
33,quick_visit
34,black_owned
35,women_led
36,veteran_led
37,entertainment
38,live_entertainment
39,lgbtq_friendly
40,fast_service
41,fireplace
42,rooftop_seating
43,sports
44,college_students
45,family_friendly
46,groups
47,locals
48,tourists
49,kids_friendly
50,wifi
51,bar_onsite
52,cash_only
53,checks
54,credit_cards
55,debit_cards
56,nfc_mobile_payments
57,recycling
58,none
