id,name,street_address,postal_code,latitude,longitude,city_id,stars,review_count,is_open
aagrillxxxxx261688801011,A1A Grill, 3330 NE 33rd St,33308,26.1688825,-80.1011759,10,5.0,7,1
abacoagolfcl268885801199,Abacoa Golf Club, 105 Barbados Dr,33458,26.8885231,-80.1199148,62,4.4,104,1
abacusbusine284586814547,Abacus Business Solutions, 7091 Grand National Dr #104,32819,28.4586873,-81.4547683,4,1.0,1,1
abbaletelavi257688801366,Abbalé Telavivian Kitchen, 864 Commerce St,33139,25.7688647,-80.1366033,45,4.4,73,1
abbesdonutsh270467822499,Abbe's Donut Shop, 13625 Tamiami Trail,34287,27.0467394,-82.2499148,34,4.7,18,1
abbottstatio282351821827,Abbott Station, 5327 Gall Blvd,33542,28.2351366,-82.1827717,201,3.9,8,1
abclobsterco260759802112,ABC Lobster Company, 3711 SW 47th Ave,33314,26.0759493,-80.2112599,25,4.7,26,1
abcpizzahous278767823264,ABC Pizza House, 7210 US-301,33578,27.8767149,-82.3264097,26,4.2,17,1
abcrestauran257876801939,ABC Restaurant Supplies, 1345 N Miami Ave,33136,25.7876963,-80.1939465,2,4.2,28,1
abestricount260060801484,Abe's Tri County Restaurant Equipment & Repairs, 621 S 21st Ave,33020,26.0060356,-80.1484843,12,4.8,15,1
abitofsaigon302854814887,A Bit of Saigon, 3503 Kernan Blvd S,32224,30.2854333,-81.4887056,1,4.6,148,1
abosarasotax273355825397,ABO Sarasota, 1534 State St,34236,27.3355378,-82.5397937,70,3.9,48,1
abovethewave261179801047,Above The Wave, 409 S Fort Lauderdale Beach Blvd,33316,26.1179801,-80.1047979,10,4.3,15,1
abranchoflea287025813461,A Branch of Leaves and Roots, 460 N Ronald Reagan Blvd STE 106,32750,28.7025893,-81.3461094,239,4.9,28,1
abrazoxxxxxx303365861656,Abrazo, 80 E County Hwy 30A,32459,30.3365037,-86.1656356,270,4.8,38,1
absofruitlyx284151812401,Absofruitly, 10473 Moss Park Rd,32832,28.4151699,-81.2401375,4,4.5,28,1
absolutelyou260330801562,absolutely outrageousgyros and phillies, 2402 Sheridan St,33020,26.0330911,-80.1562416,12,3.1,15,1
absolutethai304902864946,Absolute Thai Cafe (Valparaiso), 481 S John Sims Pkwy ste f,32580,30.4902597,-86.4946586,479,4.4,78,1
aburgerandwh302911813917,A Burger And Whiskey Bar,nan,32250,30.2911474,-81.3917854,186,4.4,25,1
acapulcocafe274930817964,Acapulco Cafe, 3410 US-17,33890,27.4930762,-81.7964678,702,4.1,73,1
acapulcomexi298957813114,Acapulco Mexican Restaurant, 12 Avenida Menendez,32084,29.8957537,-81.3114722,253,3.4,25,1
acesneightsx280328824281,Aces N Eights, 2806 E Busch Blvd,33612,28.0328216,-82.4281311,3,4.7,48,1
acgriffinand306343817557,A C Griffin and Son Inc, 56340 Griffin Rd,32011,30.6343754,-81.755775,693,4.9,8,1
achsahsjamai261658802236,Achsah's Jamaican Restaurant, 5517 W Oakland Park Blvd,33313,26.165817,-80.223641,48,3.7,89,1
ackeesaltfis276772804080,ackee & saltfish yardi style caribbean food, US-1,32967,27.6772333,-80.4080442,231,5.0,3,1
ackeetreejam261663801715,Ackee Tree Jamaican Restaurant, 2121 W Oakland Park Blvd,33311,26.1663754,-80.1715732,92,4.0,75,1
ackermansnei261087817700,Ackerman's neighborhood Eatery, 2802 Thomasson Dr,34112,26.1087082,-81.7700306,211,4.7,3,1
acmeicehouse302816860197,Acme Ice House, 10343 E County Hwy 30A,32413,30.2816667,-86.0197222,214,3.3,48,1
aconchegobar262313801020,Aconchego Bar & Grill, 7 SE 22nd Ave,33062,26.2313304,-80.1020046,23,4.2,48,1
acoresdistri295486812118,Acores Distributing Co, 6 Commercial Ct,32137,29.5486264,-81.211837,27,4.9,38,1
acostasalesa302562815991,Acosta Sales and Marketing Company, 6600 Corporate Center Pkwy,32216,30.2562828,-81.599121,1,3.2,24,1
acquapazzari248250808153,Acquapazza Ristorante, 68450 Overseas Hwy,33001,24.825081,-80.815348,913,4.3,33,1
acskybarxxxx285387813811,AC Sky Bar, 333 S Garland Ave Floor 18,32801,28.5387064,-81.3811627,4,4.3,88,1
activateacai284044814570,ActivAte Acai Bowls & Smoothie Café, 11062 International Dr #140,32821,28.4044219,-81.4570208,4,4.6,68,1
adaptfreshne282504827249,Adapt Freshness, 5413 Main St,34652,28.2504543,-82.7249707,228,4.9,55,1
adbuffalosxx304366842539,A & D Buffalo's, 1500 Apalachee Pkwy,32301,30.436689,-84.253935,9,3.6,18,1
addiktxxxxxx257686801887,ADDIKT, 485 Brickell Ave,33131,25.7686625,-80.188727,2,3.9,44,1
addiswonduxx304121843031,Addis Wondu, 1143 W Orange Ave,32310,30.412183,-84.303105,9,4.0,35,1
adelaskitche283049814489,Adelas' Kitchen, 4149 W Vine St,34741,28.304957,-81.44891,43,4.8,88,1
admiraldales272145807953,Admiral Dales, 3201 SE 33rd Terrace # 33,34974,27.2145668,-80.7953542,448,3.9,18,1
adprivatebar258004801870,AD Private Bartending, 455 NE 24th St Apt 729,33137,25.8004538,-80.1870052,2,4.9,24,1
adrianoscafe279161827585,Adriano's Cafe, 2745 E Bay Dr,33771,27.9161758,-82.7585907,40,4.5,48,1
adriaticcafe279418827445,Adriatic Cafe, 2241 Nursery Rd,33764,27.9418917,-82.7445908,21,4.2,27,1
adryanaslati280163821228,Adryanas Latin American & Italian fusion, 115 E Reynolds St ave,33563,28.0163727,-82.1228016,104,5.0,8,1
adventelrest284985813955,Adventel Restaurant And Bakery, 4563 S Orange Blossom Trl #1,32839,28.498535,-81.395571,4,4.6,25,1
adventistcom265641819452,Adventist Community Services, 1509 SE 47th Terrace,33904,26.564108,-81.945253,7,4.7,33,1
aecaribbeanc264727800976,A&E Caribbean Cafe, 2200 Lake Ida Rd,33445,26.472758,-80.0976024,54,4.1,98,1
aegeanexpres304109867566,Aegean Express, 2351 US-98 w,32569,30.4109548,-86.7566109,530,4.8,45,1
aerojuicexxx260115802506,AeroJuice, 156 N University Dr,33024,26.0115503,-80.2506187,11,3.7,53,1
aerojuicexxx263136800850,AeroJuice, 337 SE 15th Terrace,33441,26.313655,-80.085067,35,4.0,178,1
aerojuicexxx263394800866,AeroJuice, 1179 S Federal Hwy,33432,26.3394108,-80.0866292,28,4.1,58,1
afcfranchise257909801297,AFC Franchise Sushi Bar, 1669 Collins Ave,33139,25.7909153,-80.1297373,45,4.4,14,1
afcliquorlou281044819723,AFC Liquor & Lounge, 4933 US-98,33809,28.104421,-81.9723794,19,4.0,48,1
affordableca280406825096,Affordable Catering, 4108 Gunn Hwy,33618,28.040695,-82.509692,3,4.6,108,1
africancuisi280337824683,African Cuisine, 901 W Busch Blvd suite b,33612,28.033745,-82.468311,3,4.6,28,1
africanuniqu297000823694,African Unique - International Marketplace, 5001 NW 34th Blvd,32605,29.7000674,-82.3694717,13,4.8,14,1
afterbodymea291752810260,After Body Meals, 933 Beville Rd Unit 101E,32119,29.17525,-81.02609,276,4.9,105,1
