id,category_id
aamorepizzer278603827290,26
aapizzaxxxxx283578826647,19
aapizzaxxxxx283578826647,26
aapizzaxxxxx283578826647,27
abbottstatio282351821827,37
abbyshealthn280783825080,48
abcfinewinea280147826140,48
abcfinewines277704827670,48
abcfinewines278416827932,48
abcfinewines278933824950,48
abcfinewines279327827869,48
abcfinewines279361822640,48
abcfinewines279451824919,48
abcfinewines279969825582,48
abcfinewines280696824308,48
abcfinewines280808825058,48
abcfinewines281841823544,48
abcpizzahous278767823264,26
abcpizzahous279955824743,26
abcpizzahous279961825636,26
abcpizzahous280144821375,26
abcpizzaxxxx280136821380,26
abcpizzaxxxx280696824297,26
abcpizzaxxxx282445821897,48
abcpizzaxxxx282445821897,49
abcpizzaxxxx282445821897,26
abcpizzaxxxx282445821897,47
abcseafoodch278215826700,1
abcseafoodch278215826700,28
abellassandw279628824226,48
abellassandw279628824226,18
abellassandw279628824226,52
abesplacetap279521827879,27
abovethesalt280250824650,18
abuomarhalal280329824079,48
abuomarhalal280329824079,49
abuomarhalal280329824079,54
acapulcoloco279671827317,14
acapulcotaqu279524824926,48
acapulcotaqu279524824926,14
acapulcotrop279669824969,14
acedinerxxxx402308751398,48
aceliquorsxx279613827955,48
acropolfamil279058827629,49
acropolinnre279912827313,49
acropolisgre277714826406,48
acropolisgre277714826406,49
acropolisgre278928823166,48
acropolisgre278928823166,49
acropolisgre279450824924,49
acropolisgre279600824381,49
acropolisgre280837824119,48
acropolisgre280837824119,49
acropolismea281460827549,48
acupoforgani283352822698,48
adaptfreshne282504827250,48
addictedtojo277562827119,48
addictedtoth277852827828,48
admiralsclub279765825364,48
adrianosrosi279161827585,49
adrianosrosi279161827585,19
adriaticcafe279418827446,48
adryanaslati280163821228,19
adryanaslati280163821228,52
adventhealth281958823808,37
adventurecoa284352825669,37
aegeanxxxxxx281559827572,49
aegeanxxxxxx281559827572,28
affluentwell280889824588,48
afriendwhoba277409827081,48
agapepizzaxx396334861168,26
agaverestaur277352827472,14
agorafoodmar281548827604,48
agreenorient280686824452,32
agreenorient280686824452,48
aguilasandwi279958824946,48
aguilasandwi279958824946,18
ahappyfamily402437747436,1
ahiasianbist280834825039,2
ahiasianbist280834825039,4
airheadstram278857827447,26
airheadstram280383825305,26
